byte	HW_CTR_AVG_ENC	HW_CTR_AVG_DEC	HW_ECB_AVG_ENC	HW_ECB_AVG_DEC	HW_CBC_AVG_ENC	HW_CBC_AVG_DEC	SW_CTR_AVG_ENC	SW_CTR_AVG_DEC	SW_ECB_AVG_ENC	SW_ECB_AVG_DEC	SW_CBC_AVG_ENC	SW_CBC_AVG_DEC
1	0.06225	0.0635	0.0395625	0.042375	0.0656875	0.0693125	0.1361875	0.136625	0.1116875	0.1669375	0.1339375	0.1911875
2	0.0633125	0.0641875	0.0395625	0.042375	0.0656875	0.0693125	0.13625	0.1376875	0.1116875	0.1669375	0.1339375	0.1911875
3	0.0640625	0.0649375	0.0395625	0.042375	0.0656875	0.0693125	0.1376875	0.138125	0.1116875	0.1669375	0.1339375	0.1911875
4	0.061875	0.0630625	0.0395625	0.042375	0.0656875	0.0693125	0.1355	0.1363125	0.1116875	0.1669375	0.1339375	0.1911875
5	0.062875	0.064875	0.0395625	0.042375	0.0656875	0.0693125	0.1366875	0.1380625	0.1116875	0.1669375	0.1339375	0.1911875
6	0.063625	0.0656875	0.0395625	0.042375	0.0656875	0.0693125	0.1380625	0.1381875	0.1116875	0.1669375	0.1339375	0.1911875
7	0.0646875	0.066375	0.0395625	0.042375	0.0656875	0.0693125	0.1385	0.13925	0.1116875	0.1669375	0.1339375	0.1911875
8	0.06275	0.0643125	0.0395625	0.042375	0.0656875	0.0693125	0.136375	0.1371875	0.1116875	0.1669375	0.1339375	0.1911875
9	0.0640625	0.06575	0.0395625	0.042375	0.0656875	0.0693125	0.1381875	0.1383125	0.1116875	0.1669375	0.1339375	0.1911875
10	0.0648125	0.0665	0.0395625	0.042375	0.0656875	0.0693125	0.13825	0.1400625	0.1116875	0.1669375	0.1339375	0.1911875
11	0.0655625	0.0669375	0.0395625	0.042375	0.0656875	0.0693125	0.1396875	0.13975	0.1116875	0.1669375	0.1339375	0.1911875
12	0.063625	0.0648125	0.0395625	0.042375	0.0656875	0.0693125	0.13725	0.138375	0.1116875	0.1669375	0.1339375	0.1911875
13	0.0649375	0.066375	0.0395625	0.042375	0.0656875	0.0693125	0.1390625	0.1398125	0.1116875	0.1669375	0.1339375	0.1911875
14	0.0656875	0.0674375	0.0395625	0.042375	0.0656875	0.0693125	0.1395	0.1405625	0.1116875	0.1669375	0.1339375	0.1911875
15	0.066125	0.0678125	0.0395625	0.042375	0.0656875	0.0693125	0.1405625	0.141	0.1116875	0.1669375	0.1339375	0.1911875
16	0.0645625	0.06575	0.0395625	0.042375	0.0656875	0.0693125	0.13725	0.138375	0.1116875	0.1669375	0.1339375	0.1911875
17	0.071375	0.0729375	0.049125	0.0519375	0.075375	0.077875	0.2120625	0.2124375	0.186	0.2421875	0.2113125	0.268
18	0.072125	0.0736875	0.049125	0.0519375	0.0770625	0.0785625	0.2128125	0.2131875	0.186	0.2421875	0.2129375	0.2695625
19	0.0725625	0.07475	0.049125	0.0519375	0.077	0.079875	0.212875	0.213875	0.186	0.2421875	0.2129375	0.2708125
20	0.071	0.0721875	0.049125	0.0519375	0.0751875	0.0770625	0.2116875	0.2120625	0.186	0.2421875	0.21125	0.267875
21	0.072	0.073875	0.049125	0.0519375	0.0769375	0.0785	0.2131875	0.2135625	0.186	0.2421875	0.2124375	0.2693125
22	0.07275	0.0749375	0.049125	0.0519375	0.077375	0.0804375	0.2129375	0.214625	0.186	0.2421875	0.213	0.2706875
23	0.0738125	0.0750625	0.049125	0.0519375	0.07825	0.0805	0.2146875	0.2146875	0.186	0.2421875	0.2143125	0.27125
24	0.0721875	0.073125	0.049125	0.0519375	0.07575	0.0785625	0.2121875	0.21325	0.186	0.2421875	0.2119375	0.26925
25	0.0731875	0.074375	0.049125	0.0519375	0.0775	0.079375	0.2140625	0.2140625	0.186	0.2421875	0.2131875	0.2703125
26	0.073625	0.0758125	0.049125	0.0519375	0.0779375	0.0813125	0.21375	0.2155	0.186	0.2421875	0.2140625	0.2718125
27	0.0743125	0.0765625	0.049125	0.0519375	0.0785	0.082	0.2151875	0.2155625	0.186	0.2421875	0.21425	0.271875
28	0.0724375	0.0743125	0.049125	0.0519375	0.076625	0.0769375	0.2130625	0.2135	0.186	0.2421875	0.21225	0.26775
29	0.07375	0.075625	0.049125	0.0519375	0.0770625	0.0790625	0.21425	0.216	0.186	0.2421875	0.2131875	0.26925
30	0.0745	0.0760625	0.049125	0.0519375	0.0781875	0.0800625	0.216	0.2156875	0.186	0.2421875	0.2146875	0.2703125
31	0.0755625	0.0768125	0.049125	0.0519375	0.0790625	0.0804375	0.216375	0.2168125	0.186	0.2421875	0.214875	0.2714375
32	0.0744375	0.075375	0.049125	0.0519375	0.0755625	0.0786875	0.212375	0.2135	0.186	0.2421875	0.2095625	0.268625
33	0.082375	0.0833125	0.0544375	0.056625	0.086375	0.0874375	0.2871875	0.2875625	0.26075	0.3164375	0.2871875	0.345875
34	0.0828125	0.084375	0.0544375	0.056625	0.087125	0.08875	0.2879375	0.2886875	0.26075	0.3164375	0.2881875	0.347
