ecus	avg_ecu_time_s	lower	upper
4	5373.211212347339	947.7454572226443	947.2130420990325
5	5057.01638547385	632.502747184104	1895.5970298012016
6	5162.192882587359	1369.7112272268073	1158.3973890426996
7	5162.143028858754	105.76784358845725	526.2695279214213
8	5583.5798118638295	527.0354201538885	736.8646184392092
9	5267.807606132786	843.4441022944693	421.72646753430854
10	5161.94140333923	737.5756112656618	526.6365157031423
11	5057.049001488905	631.5802909760914	631.8410726475395
12	5583.749170027132	527.1945310710589	737.812747198308
13	5267.76235168839	842.2643504164344	1053.7955482750194
14	5688.7426693594125	631.8653188906637	631.8700196085329
15	5583.593930613871	1158.7424783855013	1370.014143580407
16	6110.292973854328	1053.882203715937	843.3101602469669
17	5688.87062057335	632.432459462334	632.7204987151836
18	5794.4187080794145	105.82155183529267	526.232338630015
19	5688.998775625704	632.4181681907294	632.6052249917748
20	5900.239672598153	842.7040481478189	1053.3703255947485
21	5583.694352813468	527.1325703111552	737.8775934566829
22	5899.78181438813	842.8841782152549	1053.8687583980345
23	5794.49856872297	736.9393669876627	527.115682407336
24	5794.3463701993705	736.7395879442174	526.6522290397925
25	6005.32561308407	316.84021575857787	948.3554012477689
26	6110.393778441932	1053.927731393841	843.2771110384801
27	5583.960098406519	527.3199595470205	737.6642025534802
28	6110.372353859019	1053.7390493126559	843.3327295588188
29	6005.486675692447	1579.8757188424115	947.256984352347
30	6005.3388559191335	316.8158625258802	316.3280699604129
31	5689.43709182529	631.8211572052651	632.2333529634325
32	6005.293134397809	315.6609801608456	315.7592225494882
33	5899.997269601322	842.2974525679447	421.71207131304345
34	5900.229528999579	843.2568554410136	1053.4889009849621
35	6531.855956779801	1474.2431513880647	421.8812445526564
36	6005.334801215348	947.6780635461364	948.345693132881
37	6005.339705775698	947.6651788783347	948.3692998082051
38	6005.104684738628	948.0489459614946	947.6991053345619
39	5900.065204788082	842.3759518706438	1053.72308579948
40	6005.354931004197	947.6834808569502	947.4082221993804
41	5900.050962049965	842.4121222014492	1053.7189140419878
42	5900.110473525503	842.4085713612212	1052.71381732814
43	6215.798788868025	526.9934734418612	737.055744829795
44	6215.805389581695	527.0439261829879	737.9539186920583
45	6531.985104745869	211.2040065030542	421.86358085468055
46	6110.6477159829055	421.80875543206093	211.16639251912602
47	6426.676151191862	106.03893809508736	526.5656258111367
48	6321.150002022678	631.393798080845	631.7305868490766
49	6110.5855819424905	421.90367455260184	843.2489137324046
50	6321.538864430702	632.690059540334	632.2992347064301
51	6215.838410422576	527.1085779157611	738.0254060574189
52	6215.873192674303	1158.0099869233954	737.946889591215
53	6110.806775130185	421.8790927886939	842.428965205032
54	6005.492210394503	947.5999530540621	947.7532681397561
55	6532.125182882334	842.2134318231474	421.1663195261881
56	6531.867662622113	841.9839288082039	421.95930387308454
57	6637.256968329705	947.2922785460687	316.66836082325335
58	6216.432976085583	526.6041513124737	736.5799484122854
59	6637.2637548185885	316.4175820448045	316.7235421168207
60	6532.214051583634	211.3031219133809	421.08066032816987
61	6427.063606783716	737.1763706700776	526.9134953259891
62	6426.654118055084	737.6944208037239	526.6093644996527
63	6005.632936436955	947.5929061333072	947.2625580496851
64	6321.604389267296	631.7180328561099	631.3873354887355
65	6531.7218738255315	842.4594487593877	421.559411119013
66	6532.043786504931	211.1038770181567	421.297462422589
67	6531.9835291621575	842.6756548846533	421.15148149102697
68	6532.480328502818	211.42556777645223	421.6397664562892
69	6321.552946247763	631.5089080118714	631.5894417159889
70	6427.035544171445	105.99138270930143	525.9437395448067
71	6216.758705461022	526.7328083759021	105.39286989774428
72	6216.635394765708	526.546508927684	737.4495969350364
73	6742.96205124996	420.86980638500154	211.11277404903376
74	6427.270391733979	737.2216933559248	526.9499077690734
75	6637.702695242118	316.437181729797	316.42621681017044
76	6426.883769640429	736.6915369389853	527.2688577027156
77	6216.443342906315	526.3863272069839	736.6628309992893
78	6532.781866028211	211.14673792874964	421.50589497172314
79	6532.496540975458	211.40796603617855	421.6383964129336
80	6532.372820899735	843.292988586496	421.8858632054262
81	6743.235865892035	421.16204424764874	210.94421813206736
82	6743.440220708384	421.0707958045923	210.83645523682026
83	6637.94200822583	947.6738254813263	316.4627342977028
84	6743.31288939239	422.0661505936041	211.10505684206328
85	6637.816400353325	315.65735760148345	315.70025840657945
86	6322.1485030072645	631.9529241413238	632.2999120397235
87	6427.024217977309	737.5538012523975	526.6777701612227
88	6638.009761841146	316.73548204121016	316.41425642597187
89	6848.58025188969	527.1632150114228	105.89198317133469
90	6637.991487876002	316.82431357710266	316.4342971577962
91	6638.430057007975	947.9847508982175	316.0972840680688
92	6638.317304747161	947.888257997276	316.1693867459371
93	6848.904742644615	526.6509983774695	105.67539566885534
94	6532.7249361026015	211.3158473907897	421.81494668457435
95	6743.142756110427	421.5189724403981	210.86205002156385
96	6743.484612334379	421.97916378611353	211.08082081494103
97	6849.008484961337	526.6489503590637	105.63177782396087
98	6743.112789266625	421.69300045531145	211.3987036486651
99	6533.192486133103	842.6534819186336	421.43010611567024
100	6638.190416626792	947.6053199852013	316.4192979383797
